instrumenttype	position	symbol	pitch	octave	stroke	duration	rest_after	modifier	midinote	rootnote	sample	note_value
REYONG	REYONG_4	e<=	DENG	2	OPEN	0.25	0.0	NONE	[11]	GK REYONG ROOT		0.25
REYONG	REYONG_4	e<_	DENG	2	OPEN	0.5	0.0	NONE	[11]	GK REYONG ROOT		0.5
REYONG	REYONG_1	t/=	DENGDING	None	ABBREVIATED	0.25	0.0	NONE	[13, 16]	GK REYONG ROOT		0.25
REYONG	REYONG_1	t/_	DENGDING	None	ABBREVIATED	0.5	0.0	NONE	[13, 16]	GK REYONG ROOT		0.5
REYONG	REYONG_1	t?=	DENGDING	None	MUTED	0.25	0.0	NONE	[28, 31]	GK REYONG ROOT		0.25
REYONG	REYONG_1	t?_	DENGDING	None	MUTED	0.5	0.0	NONE	[28, 31]	GK REYONG ROOT		0.5
REYONG	REYONG_1	t=	DENGDING	None	OPEN	0.25	0.0	NONE	[1, 4]	GK REYONG ROOT		0.25
REYONG	REYONG_1	t_	DENGDING	None	OPEN	0.5	0.0	NONE	[1, 4]	GK REYONG ROOT		0.5
JEGOGAN	JEGOGAN	i/=	DING	1	ABBREVIATED	0.25	0.0	NONE	[6]	GK JEGOGAN ROOT		0.25
JEGOGAN	JEGOGAN	i/_	DING	1	ABBREVIATED	0.5	0.0	NONE	[6]	GK JEGOGAN ROOT		0.5
CALUNG	CALUNG	i/=	DING	1	ABBREVIATED	0.25	0.0	NONE	[6]	GK CALUNG ROOT		0.25
CALUNG	CALUNG	i/_	DING	1	ABBREVIATED	0.5	0.0	NONE	[6]	GK CALUNG ROOT		0.5
PENYACAH	PENYACAH	i/=	DING	1	ABBREVIATED	0.25	0.0	NONE	[30]	GK PENYACAH ROOT		0.25
PENYACAH	PENYACAH	i/_	DING	1	ABBREVIATED	0.5	0.0	NONE	[30]	GK PENYACAH ROOT		0.5
PEMADE	PEMADE_POLOS	i/=	DING	1	ABBREVIATED	0.25	0.0	NONE	[15]	GK PEMADE ROOT		0.25
PEMADE	PEMADE_POLOS	i/_	DING	1	ABBREVIATED	0.5	0.0	NONE	[15]	GK PEMADE ROOT		0.5
PEMADE	PEMADE_SANGSIH	i/=	DING	1	ABBREVIATED	0.25	0.0	NONE	[15]	GK PEMADE ROOT		0.25
PEMADE	PEMADE_SANGSIH	i/_	DING	1	ABBREVIATED	0.5	0.0	NONE	[15]	GK PEMADE ROOT		0.5
KANTILAN	KANTILAN_POLOS	i/=	DING	1	ABBREVIATED	0.25	0.0	NONE	[15]	GK KANTILAN ROOT		0.25
KANTILAN	KANTILAN_POLOS	i/_	DING	1	ABBREVIATED	0.5	0.0	NONE	[15]	GK KANTILAN ROOT		0.5
KANTILAN	KANTILAN_SANGSIH	i/=	DING	1	ABBREVIATED	0.25	0.0	NONE	[15]	GK KANTILAN ROOT		0.25
KANTILAN	KANTILAN_SANGSIH	i/_	DING	1	ABBREVIATED	0.5	0.0	NONE	[15]	GK KANTILAN ROOT		0.5
UGAL	UGAL	i/=	DING	1	ABBREVIATED	0.25	0.0	NONE	[15]	GK UGAL ROOT		0.25
UGAL	UGAL	i/_	DING	1	ABBREVIATED	0.5	0.0	NONE	[15]	GK UGAL ROOT		0.5
TROMPONG	TROMPONG	i/=	DING	1	ABBREVIATED	0.25	0.0	NONE	[53]	GK TROMPONG ROOT		0.25
TROMPONG	TROMPONG	i/_	DING	1	ABBREVIATED	0.5	0.0	NONE	[53]	GK TROMPONG ROOT		0.5
GENDERRAMBAT	GENDERRAMBAT	i/=	DING	1	ABBREVIATED	0.25	0.0	NONE	[19]	GK GENDER ROOT		0.25
GENDERRAMBAT	GENDERRAMBAT	i/_	DING	1	ABBREVIATED	0.5	0.0	NONE	[19]	GK GENDER ROOT		0.5
REYONG	REYONG_1	i/=	DING	1	ABBREVIATED	0.25	0.0	NONE	[16]	GK REYONG ROOT		0.25
REYONG	REYONG_1	i/_	DING	1	ABBREVIATED	0.5	0.0	NONE	[16]	GK REYONG ROOT		0.5
REYONG	REYONG_2	i/=	DING	1	ABBREVIATED	0.25	0.0	NONE	[16]	GK REYONG ROOT		0.25
REYONG	REYONG_2	i/_	DING	1	ABBREVIATED	0.5	0.0	NONE	[16]	GK REYONG ROOT		0.5
JEGOGAN	JEGOGAN	i?=	DING	1	MUTED	0.25	0.0	NONE	[11]	GK JEGOGAN ROOT		0.25
JEGOGAN	JEGOGAN	i?_	DING	1	MUTED	0.5	0.0	NONE	[11]	GK JEGOGAN ROOT		0.5
CALUNG	CALUNG	i?=	DING	1	MUTED	0.25	0.0	NONE	[11]	GK CALUNG ROOT		0.25
CALUNG	CALUNG	i?_	DING	1	MUTED	0.5	0.0	NONE	[11]	GK CALUNG ROOT		0.5
PENYACAH	PENYACAH	i?=	DING	1	MUTED	0.25	0.0	NONE	[37]	GK PENYACAH ROOT		0.25
PENYACAH	PENYACAH	i?_	DING	1	MUTED	0.5	0.0	NONE	[37]	GK PENYACAH ROOT		0.5
PEMADE	PEMADE_POLOS	i?=	DING	1	MUTED	0.25	0.0	NONE	[25]	GK PEMADE ROOT		0.25
PEMADE	PEMADE_POLOS	i?_	DING	1	MUTED	0.5	0.0	NONE	[25]	GK PEMADE ROOT		0.5
PEMADE	PEMADE_SANGSIH	i?=	DING	1	MUTED	0.25	0.0	NONE	[25]	GK PEMADE ROOT		0.25
PEMADE	PEMADE_SANGSIH	i?_	DING	1	MUTED	0.5	0.0	NONE	[25]	GK PEMADE ROOT		0.5
KANTILAN	KANTILAN_POLOS	i?=	DING	1	MUTED	0.25	0.0	NONE	[25]	GK KANTILAN ROOT		0.25
KANTILAN	KANTILAN_POLOS	i?_	DING	1	MUTED	0.5	0.0	NONE	[25]	GK KANTILAN ROOT		0.5
KANTILAN	KANTILAN_SANGSIH	i?=	DING	1	MUTED	0.25	0.0	NONE	[25]	GK KANTILAN ROOT		0.25
KANTILAN	KANTILAN_SANGSIH	i?_	DING	1	MUTED	0.5	0.0	NONE	[25]	GK KANTILAN ROOT		0.5
UGAL	UGAL	i?=	DING	1	MUTED	0.25	0.0	NONE	[25]	GK UGAL ROOT		0.25
UGAL	UGAL	i?_	DING	1	MUTED	0.5	0.0	NONE	[25]	GK UGAL ROOT		0.5
TROMPONG	TROMPONG	i?=	DING	1	MUTED	0.25	0.0	NONE	[64]	GK TROMPONG ROOT		0.25
TROMPONG	TROMPONG	i?_	DING	1	MUTED	0.5	0.0	NONE	[64]	GK TROMPONG ROOT		0.5
GENDERRAMBAT	GENDERRAMBAT	i?=	DING	1	MUTED	0.25	0.0	NONE	[33]	GK GENDER ROOT		0.25
GENDERRAMBAT	GENDERRAMBAT	i?_	DING	1	MUTED	0.5	0.0	NONE	[33]	GK GENDER ROOT		0.5
REYONG	REYONG_1	i?=	DING	1	MUTED	0.25	0.0	NONE	[28]	GK REYONG ROOT		0.25
