instrumentgroup	instrumenttype	positions	note	octave	stroke	channel	midi-gk1	midi-gk2	midi-piano
GONG_KEBYAR	TROMPONG		DUNG	1	OPEN	0	104	0	56
GONG_KEBYAR	TROMPONG		DANG	1	OPEN	0	105	0	57
GONG_KEBYAR	TROMPONG		DING	2	OPEN	0	106	0	61
GONG_KEBYAR	TROMPONG		DONG	2	OPEN	0	107	0	62
GONG_KEBYAR	TROMPONG		DENG	2	OPEN	0	108	0	64
GONG_KEBYAR	TROMPONG		DUNG	2	OPEN	0	109	0	68
GONG_KEBYAR	TROMPONG		DANG	2	OPEN	0	110	0	69
GONG_KEBYAR	TROMPONG		BYONG		OPEN	0	115	0	56
GONG_KEBYAR	TROMPONG		BYOT		OPEN	0	116	0	56
GONG_KEBYAR	TROMPONG		JET		MUTED	0	117	0	56
GONG_KEBYAR	TROMPONG		TICK		ONE_PANGGUL	0	118	0	90
GONG_KEBYAR	TROMPONG		TICK		TWO_PANGGUL	0	119	0	90
SEMAR_PAGULINGAN	GONGS		G		OPEN	9	0		-1
SEMAR_PAGULINGAN	GONGS		PUR		OPEN	9	1		-1
SEMAR_PAGULINGAN	GONGS		TONG		OPEN	9	2		-1
SEMAR_PAGULINGAN	KEMPLI		TICK		ONE_PANGGUL	9	3		-1
SEMAR_PAGULINGAN	CENGCENG		OPEN		OPEN	9	4		-1
SEMAR_PAGULINGAN	CENGCENG		MUTED		MUTED	9	5		-1
SEMAR_PAGULINGAN	KENDANG		KAP		OPEN	9	6		-1
SEMAR_PAGULINGAN	KENDANG		PEK		OPEN	9	7		-1
SEMAR_PAGULINGAN	KENDANG		DAG		OPEN	9	8		-1
SEMAR_PAGULINGAN	KENDANG		TUT		OPEN	9	9		-1
SEMAR_PAGULINGAN	KENDANG		KRUM		OPEN	9	10		-1
SEMAR_PAGULINGAN	KENDANG		PUNG		OPEN	9	11		-1
SEMAR_PAGULINGAN	KENDANG		PLAK		OPEN	9	12		-1
SEMAR_PAGULINGAN	KENDANG		DAG		OPEN	9	13		-1
SEMAR_PAGULINGAN	KENDANG		DUG		OPEN	9	14		-1
SEMAR_PAGULINGAN	KENDANG		TAK		OPEN	9	15		-1
SEMAR_PAGULINGAN	KENDANG		TEK		OPEN	9	16		-1
SEMAR_PAGULINGAN	JEGOGAN		DING	1	OPEN	0	19		38
SEMAR_PAGULINGAN	JEGOGAN		DONG	1	OPEN	0	20		39
SEMAR_PAGULINGAN	JEGOGAN		DENG	1	OPEN	0	21		41
SEMAR_PAGULINGAN	JEGOGAN		DEUNG	1	OPEN	0	22		43
SEMAR_PAGULINGAN	JEGOGAN		DUNG	1	OPEN	0	23		44
SEMAR_PAGULINGAN	JEGOGAN		DANG	1	OPEN	0	24		46
SEMAR_PAGULINGAN	JEGOGAN		DAING	1	OPEN	0	25		50
SEMAR_PAGULINGAN	CALUNG		DING	1	OPEN	0	26		51
SEMAR_PAGULINGAN	CALUNG		DONG	1	OPEN	0	27		53
SEMAR_PAGULINGAN	CALUNG		DENG	1	OPEN	0	28		55
SEMAR_PAGULINGAN	CALUNG		DEUNG	1	OPEN	0	29		56
SEMAR_PAGULINGAN	CALUNG		DUNG	1	OPEN	0	30		58
SEMAR_PAGULINGAN	CALUNG		DANG	1	OPEN	0	31		62
SEMAR_PAGULINGAN	CALUNG		DAING	1	OPEN	0	32		63
SEMAR_PAGULINGAN	PEMADE		DING	1	OPEN	0	40		65
SEMAR_PAGULINGAN	PEMADE		DONG	1	OPEN	0	41		67
SEMAR_PAGULINGAN	PEMADE		DENG	1	OPEN	0	42		68
SEMAR_PAGULINGAN	PEMADE		DEUNG	1	OPEN	0	43		70
SEMAR_PAGULINGAN	PEMADE		DUNG	1	OPEN	0	44		74
SEMAR_PAGULINGAN	PEMADE		DANG	1	OPEN	0	45		75
SEMAR_PAGULINGAN	PEMADE		DAING	1	OPEN	0	46		77
SEMAR_PAGULINGAN	PEMADE		DING	1	MUTED	0	50		65
SEMAR_PAGULINGAN	PEMADE		DONG	1	MUTED	0	51		67
SEMAR_PAGULINGAN	PEMADE		DENG	1	MUTED	0	52		68
SEMAR_PAGULINGAN	PEMADE		DEUNG	1	MUTED	0	53		70
SEMAR_PAGULINGAN	PEMADE		DUNG	1	MUTED	0	54		74
SEMAR_PAGULINGAN	PEMADE		DANG	1	MUTED	0	55		75
SEMAR_PAGULINGAN	PEMADE		DAING	1	MUTED	0	56		77
SEMAR_PAGULINGAN	KANTILAN		DING	1	OPEN	0	60		79
SEMAR_PAGULINGAN	KANTILAN		DONG	1	OPEN	0	61		80
SEMAR_PAGULINGAN	KANTILAN		DENG	1	OPEN	0	62		82
SEMAR_PAGULINGAN	KANTILAN		DEUNG	1	OPEN	0	63		86
SEMAR_PAGULINGAN	KANTILAN		DUNG	1	OPEN	0	64		87
SEMAR_PAGULINGAN	KANTILAN		DANG	1	OPEN	0	65		89
SEMAR_PAGULINGAN	KANTILAN		DAING	1	OPEN	0	66		91
SEMAR_PAGULINGAN	KANTILAN		DING	1	MUTED	0	70		79
SEMAR_PAGULINGAN	KANTILAN		DONG	1	MUTED	0	71		80
SEMAR_PAGULINGAN	KANTILAN		DENG	1	MUTED	0	72		82
SEMAR_PAGULINGAN	KANTILAN		DEUNG	1	MUTED	0	73		86
SEMAR_PAGULINGAN	KANTILAN		DUNG	1	MUTED	0	74		87
SEMAR_PAGULINGAN	KANTILAN		DANG	1	MUTED	0	75		89
SEMAR_PAGULINGAN	KANTILAN		DAING	1	MUTED	0	76		91
SEMAR_PAGULINGAN	TROMPONG		DING	0	OPEN	0	100		51
SEMAR_PAGULINGAN	TROMPONG		DONG	0	OPEN	0	101		53
