instrumentgroup	instrumenttype	positions	notevalue	channel	midi-gk1	midi-gk2	midi-piano
SEMAR_PAGULINGAN	PEMADE		DUNG1_MUTED	0	54		74
SEMAR_PAGULINGAN	PEMADE		DANG1_MUTED	0	55		75
SEMAR_PAGULINGAN	PEMADE		DAING1_MUTED	0	56		77
SEMAR_PAGULINGAN	KANTILAN		DING1	0	60		79
SEMAR_PAGULINGAN	KANTILAN		DONG1	0	61		80
SEMAR_PAGULINGAN	KANTILAN		DENG1	0	62		82
SEMAR_PAGULINGAN	KANTILAN		DEUNG1	0	63		86
SEMAR_PAGULINGAN	KANTILAN		DUNG1	0	64		87
SEMAR_PAGULINGAN	KANTILAN		DANG1	0	65		89
SEMAR_PAGULINGAN	KANTILAN		DAING1	0	66		91
SEMAR_PAGULINGAN	KANTILAN		DING1_MUTED	0	70		79
SEMAR_PAGULINGAN	KANTILAN		DONG1_MUTED	0	71		80
SEMAR_PAGULINGAN	KANTILAN		DENG1_MUTED	0	72		82
SEMAR_PAGULINGAN	KANTILAN		DEUNG1_MUTED	0	73		86
SEMAR_PAGULINGAN	KANTILAN		DUNG1_MUTED	0	74		87
SEMAR_PAGULINGAN	KANTILAN		DANG1_MUTED	0	75		89
SEMAR_PAGULINGAN	KANTILAN		DAING1_MUTED	0	76		91
SEMAR_PAGULINGAN	TROMPONG		DING0	0	100		51
SEMAR_PAGULINGAN	TROMPONG		DONG0	0	101		53
SEMAR_PAGULINGAN	TROMPONG		DENG0	0	102		55
SEMAR_PAGULINGAN	TROMPONG		DEUNG0	0	103		56
SEMAR_PAGULINGAN	TROMPONG		DUNG0	0	104		58
SEMAR_PAGULINGAN	TROMPONG		DANG0	0	105		62
SEMAR_PAGULINGAN	TROMPONG		DAING0	0	106		63
SEMAR_PAGULINGAN	TROMPONG		DING1	0	107		65
SEMAR_PAGULINGAN	TROMPONG		DONG1	0	108		67
SEMAR_PAGULINGAN	TROMPONG		DENG1	0	109		68
SEMAR_PAGULINGAN	TROMPONG		DEUNG1	0	110		70
SEMAR_PAGULINGAN	TROMPONG		DUNG1	0	111		74
SEMAR_PAGULINGAN	TROMPONG		DANG1	0	112		75
SEMAR_PAGULINGAN	TROMPONG		DAING1	0	113		77
SEMAR_PAGULINGAN	TROMPONG		BYONG	0	115		-1
SEMAR_PAGULINGAN	TROMPONG		BYOT	0	116		-1
SEMAR_PAGULINGAN	TROMPONG		JET	0	117		-1
SEMAR_PAGULINGAN	TROMPONG		TICK_1_PANGGUL	0	118		-1
SEMAR_PAGULINGAN	TROMPONG		TICK_2_PANGGUL	0	119		-1
