instrumentgroup	instrumenttype	positions	pitch	octave	stroke	remark	midinote	rootnote	sample
SEMAR_PAGULINGAN	CALUNG		DENG	1	OPEN		53	SP CALUNG ROOT	
SEMAR_PAGULINGAN	CALUNG		DEUNG	1	OPEN		54	SP CALUNG ROOT	SP CALUNG DEUNG2.wav
SEMAR_PAGULINGAN	CALUNG		DUNG	1	OPEN		55	SP CALUNG ROOT	
SEMAR_PAGULINGAN	CALUNG		DANG	1	OPEN		56	SP CALUNG ROOT	
SEMAR_PAGULINGAN	CALUNG		DAING	1	OPEN		57	SP CALUNG ROOT	
SEMAR_PAGULINGAN	CALUNG		DING	1	ABBREVIATED		58	SP CALUNG ROOT	
SEMAR_PAGULINGAN	CALUNG		DONG	1	ABBREVIATED		59	SP CALUNG ROOT	
SEMAR_PAGULINGAN	CALUNG		DENG	1	ABBREVIATED		60	SP CALUNG ROOT	
SEMAR_PAGULINGAN	CALUNG		DEUNG	1	ABBREVIATED		61	SP CALUNG ROOT	
SEMAR_PAGULINGAN	CALUNG		DUNG	1	ABBREVIATED		62	SP CALUNG ROOT	
SEMAR_PAGULINGAN	CALUNG		DANG	1	ABBREVIATED		63	SP CALUNG ROOT	
SEMAR_PAGULINGAN	CALUNG		DAING	1	ABBREVIATED		64	SP CALUNG ROOT	
SEMAR_PAGULINGAN	CALUNG		DING	1	MUTED		65	SP CALUNG ROOT	
SEMAR_PAGULINGAN	CALUNG		DONG	1	MUTED		66	SP CALUNG ROOT	
SEMAR_PAGULINGAN	CALUNG		DENG	1	MUTED		67	SP CALUNG ROOT	
SEMAR_PAGULINGAN	CALUNG		DEUNG	1	MUTED		68	SP CALUNG ROOT	
SEMAR_PAGULINGAN	CALUNG		DUNG	1	MUTED		69	SP CALUNG ROOT	
SEMAR_PAGULINGAN	CALUNG		DANG	1	MUTED		70	SP CALUNG ROOT	
SEMAR_PAGULINGAN	CALUNG		DAING	1	MUTED		71	SP CALUNG ROOT	
SEMAR_PAGULINGAN	PEMADE		DING	1	OPEN		51	SP PEMADE ROOT	
SEMAR_PAGULINGAN	PEMADE		DONG	1	OPEN		52	SP PEMADE ROOT	
SEMAR_PAGULINGAN	PEMADE		DENG	1	OPEN		53	SP PEMADE ROOT	
SEMAR_PAGULINGAN	PEMADE		DEUNG	1	OPEN		54	SP PEMADE ROOT	
SEMAR_PAGULINGAN	PEMADE		DUNG	1	OPEN		55	SP PEMADE ROOT	SP PEMADE DEUNG3.wav
SEMAR_PAGULINGAN	PEMADE		DANG	1	OPEN		56	SP PEMADE ROOT	
